2026-06-14 14:30:04 | SUCCESS  | src.data.collector:_collect_race:300 |   OK  — 2024 R16 — Italian Grand Prix
2026-06-14 14:30:05 | INFO     | src.data.collector:_collect_race:257 | Processing: 2024 R17 — Azerbaijan Grand Prix
2026-06-14 14:30:13 | SUCCESS  | src.data.collector:_collect_race:300 |   OK  — 2024 R17 — Azerbaijan Grand Prix
2026-06-14 14:30:14 | INFO     | src.data.collector:_collect_race:257 | Processing: 2024 R18 — Singapore Grand Prix
2026-06-14 14:30:26 | SUCCESS  | src.data.collector:_collect_race:300 |   OK  — 2024 R18 — Singapore Grand Prix
2026-06-14 14:30:27 | INFO     | src.data.collector:_collect_race:257 | Processing: 2024 R19 — United States Grand Prix
2026-06-14 14:30:36 | SUCCESS  | src.data.collector:_collect_race:300 |   OK  — 2024 R19 — United States Grand Prix
2026-06-14 14:30:37 | INFO     | src.data.collector:_collect_race:257 | Processing: 2024 R20 — Mexico City Grand Prix
2026-06-14 14:30:44 | SUCCESS  | src.data.collector:_collect_race:300 |   OK  — 2024 R20 — Mexico City Grand Prix
2026-06-14 14:30:45 | INFO     | src.data.collector:_collect_race:257 | Processing: 2024 R21 — São Paulo Grand Prix
2026-06-14 14:30:52 | SUCCESS  | src.data.collector:_collect_race:300 |   OK  — 2024 R21 — São Paulo Grand Prix
2026-06-14 14:30:53 | INFO     | src.data.collector:_collect_race:257 | Processing: 2024 R22 — Las Vegas Grand Prix
2026-06-14 14:31:01 | SUCCESS  | src.data.collector:_collect_race:300 |   OK  — 2024 R22 — Las Vegas Grand Prix
2026-06-14 14:31:02 | INFO     | src.data.collector:_collect_race:257 | Processing: 2024 R23 — Qatar Grand Prix
2026-06-14 14:31:09 | SUCCESS  | src.data.collector:_collect_race:300 |   OK  — 2024 R23 — Qatar Grand Prix
2026-06-14 14:31:10 | INFO     | src.data.collector:_collect_race:257 | Processing: 2024 R24 — Abu Dhabi Grand Prix
2026-06-14 14:31:18 | SUCCESS  | src.data.collector:_collect_race:300 |   OK  — 2024 R24 — Abu Dhabi Grand Prix
2026-06-14 14:31:19 | INFO     | src.data.collector:_log_summary:672 | ============================================================
2026-06-14 14:31:19 | INFO     | src.data.collector:_log_summary:673 | Collection complete
2026-06-14 14:31:19 | INFO     | src.data.collector:_log_summary:674 |   Total  : 46
2026-06-14 14:31:19 | INFO     | src.data.collector:_log_summary:675 |   OK     : 46
2026-06-14 14:31:19 | INFO     | src.data.collector:_log_summary:676 |   Skipped: 0
2026-06-14 14:31:19 | INFO     | src.data.collector:_log_summary:677 |   Failed : 0
2026-06-14 14:31:19 | INFO     | src.data.collector:_log_summary:682 | ============================================================
2026-06-14 19:05:18 | INFO     | src.data.collector:__init__:177 | FastF1 cache  : /Users/misty/Documents/f1-race-strategy-analytics/.fastf1_cache
2026-06-14 19:05:18 | INFO     | src.data.collector:__init__:178 | Seasons       : [2023, 2024]
2026-06-14 19:05:18 | INFO     | src.data.collector:__init__:179 | Session type  : R
2026-06-14 19:05:18 | INFO     | src.data.collector:__init__:180 | Overwrite     : False
2026-06-14 19:05:18 | INFO     | src.data.collector:run:189 | ============================================================
2026-06-14 19:05:18 | INFO     | src.data.collector:run:190 | F1 Data Collection Pipeline — START
2026-06-14 19:05:18 | INFO     | src.data.collector:run:191 | ============================================================
2026-06-14 19:05:18 | INFO     | src.data.collector:_collect_season:219 | ── Season 2023 ──────────────────────────────────
2026-06-14 19:05:19 | INFO     | src.data.collector:_collect_season:229 | Season 2023: 22 race events found
2026-06-14 19:05:19 | INFO     | src.data.collector:_collect_race:257 | Processing: 2023 R01 — Bahrain Grand Prix
2026-06-14 19:05:19 | INFO     | src.data.collector:_collect_race:271 |   SKIP — all files already exist for 2023 R01 — Bahrain Grand Prix
2026-06-14 19:05:20 | INFO     | src.data.collector:_collect_race:257 | Processing: 2023 R02 — Saudi Arabian Grand Prix
2026-06-14 19:05:20 | INFO     | src.data.collector:_collect_race:271 |   SKIP — all files already exist for 2023 R02 — Saudi Arabian Grand Prix
2026-06-14 19:05:21 | INFO     | src.data.collector:_collect_race:257 | Processing: 2023 R03 — Australian Grand Prix
2026-06-14 19:05:21 | INFO     | src.data.collector:_collect_race:271 |   SKIP — all files already exist for 2023 R03 — Australian Grand Prix
2026-06-14 19:05:22 | INFO     | src.data.collector:_collect_race:257 | Processing: 2023 R04 — Azerbaijan Grand Prix
2026-06-14 19:05:22 | INFO     | src.data.collector:_collect_race:271 |   SKIP — all files already exist for 2023 R04 — Azerbaijan Grand Prix
2026-06-14 19:05:23 | INFO     | src.data.collector:_collect_race:257 | Processing: 2023 R05 — Miami Grand Prix
2026-06-14 19:05:23 | INFO     | src.data.collector:_collect_race:271 |   SKIP — all files already exist for 2023 R05 — Miami Grand Prix
2026-06-14 19:05:24 | INFO     | src.data.collector:_collect_race:257 | Processing: 2023 R06 — Monaco Grand Prix
2026-06-14 19:05:24 | INFO     | src.data.collector:_collect_race:271 |   SKIP — all files already exist for 2023 R06 — Monaco Grand Prix
2026-06-14 19:05:25 | INFO     | src.data.collector:_collect_race:257 | Processing: 2023 R07 — Spanish Grand Prix
2026-06-14 19:05:25 | INFO     | src.data.collector:_collect_race:271 |   SKIP — all files already exist for 2023 R07 — Spanish Grand Prix
2026-06-14 19:05:26 | INFO     | src.data.collector:_collect_race:257 | Processing: 2023 R08 — Canadian Grand Prix
2026-06-14 19:05:26 | INFO     | src.data.collector:_collect_race:271 |   SKIP — all files already exist for 2023 R08 — Canadian Grand Prix
2026-06-14 19:05:27 | INFO     | src.data.collector:_collect_race:257 | Processing: 2023 R09 — Austrian Grand Prix
2026-06-14 19:05:27 | INFO     | src.data.collector:_collect_race:271 |   SKIP — all files already exist for 2023 R09 — Austrian Grand Prix
2026-06-14 19:05:28 | INFO     | src.data.collector:_collect_race:257 | Processing: 2023 R10 — British Grand Prix
2026-06-14 19:05:28 | INFO     | src.data.collector:_collect_race:271 |   SKIP — all files already exist for 2023 R10 — British Grand Prix
2026-06-14 19:05:29 | INFO     | src.data.collector:_collect_race:257 | Processing: 2023 R11 — Hungarian Grand Prix
2026-06-14 19:05:29 | INFO     | src.data.collector:_collect_race:271 |   SKIP — all files already exist for 2023 R11 — Hungarian Grand Prix
2026-06-14 19:05:30 | INFO     | src.data.collector:_collect_race:257 | Processing: 2023 R12 — Belgian Grand Prix
2026-06-14 19:05:30 | INFO     | src.data.collector:_collect_race:271 |   SKIP — all files already exist for 2023 R12 — Belgian Grand Prix
2026-06-14 19:05:31 | INFO     | src.data.collector:_collect_race:257 | Processing: 2023 R13 — Dutch Grand Prix
2026-06-14 19:05:31 | INFO     | src.data.collector:_collect_race:271 |   SKIP — all files already exist for 2023 R13 — Dutch Grand Prix
2026-06-14 19:05:32 | INFO     | src.data.collector:_collect_race:257 | Processing: 2023 R14 — Italian Grand Prix
